external_id,source_dataset,source_split,label,channel_condition,speaker_id,voice_id,generator_id,generator_type,duration_s,sample_rate,channels,original_path,processed_path
LA_E_3126231,asvspoof2021_LA_eval,eval,human,clean,LA_0015,LA_0015,n/a,human,3.158,16000,1,raw/asvspoof2021_la/LA_E_3126231.flac,processed/domain_matched/original/LA_E_3126231.wav
LA_E_4266999,asvspoof2021_LA_eval,eval,human,clean,LA_0015,LA_0015,n/a,human,5.848,16000,1,raw/asvspoof2021_la/LA_E_4266999.flac,processed/domain_matched/original/LA_E_4266999.wav
LA_E_7154541,asvspoof2021_LA_eval,eval,human,clean,LA_0015,LA_0015,n/a,human,6.912,16000,1,raw/asvspoof2021_la/LA_E_7154541.flac,processed/domain_matched/original/LA_E_7154541.wav
LA_E_6120005,asvspoof2021_LA_eval,eval,human,clean,LA_0015,LA_0015,n/a,human,1.0,16000,1,raw/asvspoof2021_la/LA_E_6120005.flac,processed/domain_matched/original/LA_E_6120005.wav
LA_E_9607428,asvspoof2021_LA_eval,eval,human,clean,LA_0015,LA_0015,n/a,human,5.804,16000,1,raw/asvspoof2021_la/LA_E_9607428.flac,processed/domain_matched/original/LA_E_9607428.wav
LA_E_3009841,asvspoof2021_LA_eval,eval,human,clean,LA_0004,LA_0004,n/a,human,2.518,16000,1,raw/asvspoof2021_la/LA_E_3009841.flac,processed/domain_matched/original/LA_E_3009841.wav
LA_E_4686633,asvspoof2021_LA_eval,eval,human,clean,LA_0004,LA_0004,n/a,human,0.969,16000,1,raw/asvspoof2021_la/LA_E_4686633.flac,processed/domain_matched/original/LA_E_4686633.wav
LA_E_2308360,asvspoof2021_LA_eval,eval,human,clean,LA_0004,LA_0004,n/a,human,2.682,16000,1,raw/asvspoof2021_la/LA_E_2308360.flac,processed/domain_matched/original/LA_E_2308360.wav
LA_E_9859493,asvspoof2021_LA_eval,eval,human,clean,LA_0004,LA_0004,n/a,human,2.223,16000,1,raw/asvspoof2021_la/LA_E_9859493.flac,processed/domain_matched/original/LA_E_9859493.wav
LA_E_4463978,asvspoof2021_LA_eval,eval,human,clean,LA_0004,LA_0004,n/a,human,3.034,16000,1,raw/asvspoof2021_la/LA_E_4463978.flac,processed/domain_matched/original/LA_E_4463978.wav
LA_E_3307778,asvspoof2021_LA_eval,eval,human,clean,LA_0036,LA_0036,n/a,human,3.927,16000,1,raw/asvspoof2021_la/LA_E_3307778.flac,processed/domain_matched/original/LA_E_3307778.wav
LA_E_7151396,asvspoof2021_LA_eval,eval,human,clean,LA_0036,LA_0036,n/a,human,1.329,16000,1,raw/asvspoof2021_la/LA_E_7151396.flac,processed/domain_matched/original/LA_E_7151396.wav
LA_E_1307211,asvspoof2021_LA_eval,eval,human,clean,LA_0036,LA_0036,n/a,human,3.624,16000,1,raw/asvspoof2021_la/LA_E_1307211.flac,processed/domain_matched/original/LA_E_1307211.wav
LA_E_7999423,asvspoof2021_LA_eval,eval,human,clean,LA_0036,LA_0036,n/a,human,4.484,16000,1,raw/asvspoof2021_la/LA_E_7999423.flac,processed/domain_matched/original/LA_E_7999423.wav
LA_E_3891028,asvspoof2021_LA_eval,eval,human,clean,LA_0036,LA_0036,n/a,human,3.319,16000,1,raw/asvspoof2021_la/LA_E_3891028.flac,processed/domain_matched/original/LA_E_3891028.wav
LA_E_2346625,asvspoof2021_LA_eval,eval,human,clean,LA_0032,LA_0032,n/a,human,3.288,16000,1,raw/asvspoof2021_la/LA_E_2346625.flac,processed/domain_matched/original/LA_E_2346625.wav
