external_id,source_dataset,source_split,label,speaker_id,voice_id,generator_id,generator_type,duration_s,sample_rate,channels,original_path,processed_path
arm_00610_00021565457,openslr61_argentinian_spanish,n/a,human,arm_00610,arm_00610,n/a,human,4.437,48000,1,raw/openslr61_human/arm_00610_00021565457.wav,processed/original/arm_00610_00021565457.wav
arm_00610_00072700102,openslr61_argentinian_spanish,n/a,human,arm_00610,arm_00610,n/a,human,5.632,48000,1,raw/openslr61_human/arm_00610_00072700102.wav,processed/original/arm_00610_00072700102.wav
arm_00610_00073376588,openslr61_argentinian_spanish,n/a,human,arm_00610,arm_00610,n/a,human,5.291,48000,1,raw/openslr61_human/arm_00610_00073376588.wav,processed/original/arm_00610_00073376588.wav
arm_00610_00073732425,openslr61_argentinian_spanish,n/a,human,arm_00610,arm_00610,n/a,human,7.168,48000,1,raw/openslr61_human/arm_00610_00073732425.wav,processed/original/arm_00610_00073732425.wav
arm_00610_00080474855,openslr61_argentinian_spanish,n/a,human,arm_00610,arm_00610,n/a,human,5.205,48000,1,raw/openslr61_human/arm_00610_00080474855.wav,processed/original/arm_00610_00080474855.wav
arm_01523_00015762373,openslr61_argentinian_spanish,n/a,human,arm_01523,arm_01523,n/a,human,3.328,48000,1,raw/openslr61_human/arm_01523_00015762373.wav,processed/original/arm_01523_00015762373.wav
arm_01523_00024214392,openslr61_argentinian_spanish,n/a,human,arm_01523,arm_01523,n/a,human,4.181,48000,1,raw/openslr61_human/arm_01523_00024214392.wav,processed/original/arm_01523_00024214392.wav
arm_01523_00031384578,openslr61_argentinian_spanish,n/a,human,arm_01523,arm_01523,n/a,human,3.413,48000,1,raw/openslr61_human/arm_01523_00031384578.wav,processed/original/arm_01523_00031384578.wav
arm_01523_00044278241,openslr61_argentinian_spanish,n/a,human,arm_01523,arm_01523,n/a,human,4.181,48000,1,raw/openslr61_human/arm_01523_00044278241.wav,processed/original/arm_01523_00044278241.wav
arm_01523_00048727718,openslr61_argentinian_spanish,n/a,human,arm_01523,arm_01523,n/a,human,3.243,48000,1,raw/openslr61_human/arm_01523_00048727718.wav,processed/original/arm_01523_00048727718.wav
arm_02484_00023279428,openslr61_argentinian_spanish,n/a,human,arm_02484,arm_02484,n/a,human,6.571,48000,1,raw/openslr61_human/arm_02484_00023279428.wav,processed/original/arm_02484_00023279428.wav
arm_02484_00039073973,openslr61_argentinian_spanish,n/a,human,arm_02484,arm_02484,n/a,human,5.973,48000,1,raw/openslr61_human/arm_02484_00039073973.wav,processed/original/arm_02484_00039073973.wav
arm_02484_00055803626,openslr61_argentinian_spanish,n/a,human,arm_02484,arm_02484,n/a,human,4.437,48000,1,raw/openslr61_human/arm_02484_00055803626.wav,processed/original/arm_02484_00055803626.wav
arm_02484_00056801390,openslr61_argentinian_spanish,n/a,human,arm_02484,arm_02484,n/a,human,6.229,48000,1,raw/openslr61_human/arm_02484_00056801390.wav,processed/original/arm_02484_00056801390.wav
arm_02484_00057363932,openslr61_argentinian_spanish,n/a,human,arm_02484,arm_02484,n/a,human,5.376,48000,1,raw/openslr61_human/arm_02484_00057363932.wav,processed/original/arm_02484_00057363932.wav
arm_03397_00025749113,openslr61_argentinian_spanish,n/a,human,arm_03397,arm_03397,n/a,human,4.267,48000,1,raw/openslr61_human/arm_03397_00025749113.wav,processed/original/arm_03397_00025749113.wav
arm_03397_00028365254,openslr61_argentinian_spanish,n/a,human,arm_03397,arm_03397,n/a,human,4.608,48000,1,raw/openslr61_human/arm_03397_00028365254.wav,processed/original/arm_03397_00028365254.wav
arm_03397_00069001323,openslr61_argentinian_spanish,n/a,human,arm_03397,arm_03397,n/a,human,3.499,48000,1,raw/openslr61_human/arm_03397_00069001323.wav,processed/original/arm_03397_00069001323.wav
arm_03397_00089245330,openslr61_argentinian_spanish,n/a,human,arm_03397,arm_03397,n/a,human,3.84,48000,1,raw/openslr61_human/arm_03397_00089245330.wav,processed/original/arm_03397_00089245330.wav
